locationid,applicant,facility,cnn,descriptio,address,block_lot,block,lot,permit,status,food_items,x,y,latitude,longitude,schedule,days_hours,approved,received,priorpermi,exp_date,location
828062,Roadside Rotisserie Corporation / Country Grill,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,311015,311,15,15MFF-0156,APPROVED,Rotisserie chicken: pork loin: ribs: chicken salad wrap: potatoes: roasted seasonal vegetables kale salad: beverages.,6011921.732,2115262.393,37.78877872,-122.4025746,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0156&ExportPDF=1&Filename=15MFF-0156_schedule.pdf,Tu/Th/Fr:6PM-8PM,7/6/2016 0:00:00,11/30/2015,0,3/15/2017 0:00:00,"(37.788778723378, -122.402574568411)"
809080,Eli's Hot Dogs,Push Cart,7504000,JERROLD AVE: BARNEVELD AVE to END (2351 - 2369),101 BAY SHORE BLVD,5559018,5559,18,16MFF-0125,APPROVED,various styles of hot dogs & sausages: chips: breakfast sandwiches: chili: soda: water:,6011376.107,2100039.012,37.7469483,-122.403391,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0125&ExportPDF=1&Filename=16MFF-0125_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-5PM,5/23/2016 0:00:00,5/23/2016,1,3/15/2017 0:00:00,"(37.7469482955131, -122.403390960313)"
803884,Let's Be Frank,Push Cart,8393001,LINDEN ST: GOUGH ST to OCTAVIA ST (300 - 399),404 OCTAVIA ST,817033,817,33,16MFF-0120,APPROVED,Hot dogs and chili,6005585.672,2110752.197,37.77603906,-122.4241756,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0120&ExportPDF=1&Filename=16MFF-0120_schedule.pdf,Fr:11AM-5PM,5/17/2016 0:00:00,5/17/2016,0,3/15/2017 0:00:00,"(37.7760390626659, -122.424175571492)"
803883,Let's Be Frank,Push Cart,6816000,HAYES ST: GOUGH ST to OCTAVIA ST (400 - 499),425 HAYES ST,817025,817,25,16MFF-0120,APPROVED,Hot dogs and chili,6005815.064,2110939.717,37.7765669,-122.4233954,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0120&ExportPDF=1&Filename=16MFF-0120_schedule.pdf,Su/We:11AM-5PM,5/17/2016 0:00:00,5/17/2016,0,3/15/2017 0:00:00,"(37.7765668965195, -122.423395376727)"
802221,El Tonayense #60,Truck,6746000,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,3573023,3573,23,16MFF-0119,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Drinks,6008587.223,2105981.305,37.76310833,-122.4134549,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0119&ExportPDF=1&Filename=16MFF-0119_schedule.pdf,Mo-Su:10AM-4PM,5/11/2016 0:00:00,5/11/2016,1,3/15/2017 0:00:00,"(37.7631083253767, -122.413454890022)"
801895,La Jefa,Truck,2801102,BAY SHORE BLVD: WATERLOO ST to MARENGO ST (501 - 559) -- EAST --,531 BAY SHORE BLVD,5607038,5607,38,16MFF-0118,APPROVED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,6010348.157,2097065.717,37.7387268,-122.406736,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0118&ExportPDF=1&Filename=16MFF-0118_schedule.pdf,Mo-Su:7AM-8PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.7387268039871, -122.406736029905)"
801882,"Santana ESG, Inc.",Truck,11834000,SHOTWELL ST: 16TH ST to 17TH ST (200 - 299),200 SHOTWELL ST,3571014,3571,14,16MFF-0116,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,6007701.412,2106595.633,37.76474535,-122.4165621,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0116&ExportPDF=1&Filename=16MFF-0116_schedule.pdf,Sa-Su:10AM-6PM;Mo-Fr:10AM-10PM,,5/10/2016,1,3/15/2017 0:00:00,"(37.7647453507195, -122.41656213947)"
801865,"Santana ESG, Inc.",Truck,11542000,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,289003,289,3,16MFF-0115,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,6012406.465,2115874.016,37.79048515,-122.4009404,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0115&ExportPDF=1&Filename=16MFF-0115_schedule.pdf,Mo-Fr:11AM-3PM,5/10/2016 0:00:00,5/10/2016,1,3/15/2017 0:00:00,"(37.790485146128, -122.40094044069)"
801849,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,16MFF-0114,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0114&ExportPDF=1&Filename=16MFF-0114_schedule.pdf,Mo-Fr:9AM-4PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.7806472100484, -122.394629181662)"
801800,"Kabob Trolley, LLC",Push Cart,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,8702606,8702,606,16MFF-0113,APPROVED,Gyros: Kebobs: refreshments and dessert,6014485.063,2111154.518,37.77764221,-122.3934181,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0113&ExportPDF=1&Filename=16MFF-0113_schedule.pdf,Mo-Su:10AM-8PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.77764220851, -122.393418145932)"
